epoch,train_loss,train_dice,val_loss,val_dice
1,0.056516901820173694,0.24694425402128883,0.024181068483826326,0.30348374849857407
2,0.016645071420094207,0.39080968653714215,0.01896145489256553,0.3328081357811494
3,0.014865284497177021,0.42647365475142446,0.019692066643835493,0.36775785309999554
4,0.013077251049172548,0.46118683112716236,0.015465677232067617,0.42860090869723977
5,0.012667658210611317,0.4772797591018456,0.015466091575540809,0.4103924713843433
6,0.011924577818502223,0.4997636905836838,0.016021498532413886,0.41803129411350237
7,0.011426559908539746,0.512633466085902,0.016748076317728393,0.44316148183274046
8,0.011016092109235211,0.5308686051103804,0.013290011937324717,0.41547908532954164
9,0.01132387055075486,0.5229413403681031,0.013991615311587574,0.4615953311462093
10,0.010548024715562524,0.5414177806565055,0.014594986730177577,0.4317498446062759
11,0.01008232737033352,0.5535492539129875,0.014899278970875052,0.4844497950210022
12,0.01057529220361849,0.5519587514577089,0.011693051774097882,0.48328363602480817
13,0.009823235213816926,0.5663286608678323,0.016201671951933314,0.458539015715311
14,0.009460620247301887,0.5763713482905317,0.01486001701753897,0.46287091355080956
15,0.009311831620289012,0.5769831155737241,0.013494059933280502,0.4918202514173808
16,0.009236130806082791,0.5921604615118768,0.011643582334983403,0.5082995547188653
17,0.009190346501741765,0.5875941665084273,0.014800791989330686,0.5288004334878038
18,0.008826201286649814,0.6028694932107572,0.011329760556583534,0.5283927366965346
19,0.008491679767784834,0.614299336268946,0.010617454611390173,0.5342228708995713
20,0.008478020745786597,0.608907653418956,0.010351864981822912,0.5401860537352385
